step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854700e+01,9,CG,6,2.66e-09,0,1.3171,1.3171
2,14047.979492,1.037745e+01,5,CG,6,2.65e-09,0,1.4431,2.7602
3,14047.699219,4.557225e+00,5,CG,6,2.63e-09,0,1.2792,4.0395
4,14047.635742,1.513610e+00,5,CG,6,2.62e-09,0,1.4178,5.4572
5,14047.629883,6.352911e-01,5,CG,6,2.61e-09,0,1.0496,6.5068
6,14047.630859,9.154100e-01,5,CG,6,2.60e-09,0,1.1003,7.6071
7,14047.630859,7.293072e-01,5,CG,6,2.60e-09,0,1.0936,8.7007
8,14047.632812,4.870291e-01,5,CG,6,2.59e-09,0,1.0821,9.7829
9,14047.631836,2.802415e-01,4,CG,6,2.59e-09,0,1.1350,10.9179
10,14047.631836,1.354990e-01,3,CG,6,2.60e-09,0,1.1008,12.0187
11,14047.632812,3.634071e-02,4,CG,6,2.60e-09,0,1.2764,13.2952
12,14047.631836,3.254509e-02,4,CG,6,2.60e-09,0,1.4353,14.7305
13,14047.631836,2.890110e-02,4,CG,6,2.60e-09,0,1.4389,16.1694
14,14047.632812,1.940536e-02,4,CG,6,2.60e-09,0,1.2162,17.3856
15,14047.631836,1.405573e-02,3,CG,6,2.60e-09,0,1.3136,18.6991
16,14047.630859,8.098602e-03,3,CG,6,2.60e-09,0,1.1092,19.8083
17,14047.630859,5.024433e-03,3,CG,6,2.60e-09,0,1.2486,21.0570
18,14047.632812,1.866341e-03,3,CG,6,2.60e-09,0,1.2542,22.3111
19,14047.630859,3.456116e-03,2,CG,6,2.60e-09,0,1.3214,23.6326
20,14047.631836,6.944656e-03,2,CG,6,2.60e-09,0,1.3191,24.9516
21,14047.628906,3.298759e-03,3,CG,6,2.60e-09,0,1.3702,26.3218
22,14047.630859,5.187988e-04,3,CG,6,2.60e-09,0,1.3173,27.6391
