step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
75,38618.310657,3.204109e+01,16,CG,500,5.28e-05,0,0.6663,45.8120
76,38570.894162,3.192920e+01,16,CG,500,5.48e-05,0,0.6624,46.4743
77,38523.720904,3.182421e+01,16,CG,500,5.69e-05,0,0.6680,47.1424
78,38476.788364,3.171979e+01,16,CG,500,5.91e-05,0,0.6617,47.8041
79,38430.094039,3.161592e+01,16,CG,500,6.13e-05,0,0.6790,48.4831
80,38383.635458,3.151262e+01,16,CG,500,6.35e-05,0,0.6682,49.1513
81,38337.410173,3.140987e+01,16,CG,500,6.59e-05,0,0.6072,49.7585
82,38291.415760,3.130767e+01,16,CG,500,6.82e-05,0,0.6456,50.4042
83,38245.649827,3.120603e+01,16,CG,500,7.07e-05,0,0.6185,51.0226
84,38200.110006,3.110493e+01,16,CG,500,7.32e-05,0,0.6590,51.6816
85,38154.793949,3.100439e+01,16,CG,500,7.57e-05,0,0.6248,52.3064
86,38109.699333,3.090439e+01,16,CG,500,7.84e-05,0,0.6642,52.9706
87,38064.823862,3.080493e+01,16,CG,500,8.11e-05,0,0.6616,53.6322
88,38020.165263,3.070601e+01,16,CG,500,8.38e-05,0,0.7250,54.3572
89,37975.721288,3.060763e+01,16,CG,500,8.66e-05,0,0.6639,55.0212
90,37931.489713,3.050979e+01,16,CG,500,8.95e-05,0,0.6379,55.6591
91,37887.468340,3.041249e+01,16,CG,500,9.24e-05,0,0.6392,56.2983
92,37843.654990,3.031571e+01,16,CG,500,9.55e-05,0,0.6058,56.9041
93,37800.047512,3.021946e+01,16,CG,500,9.85e-05,0,0.6242,57.5283
94,37756.643780,3.012374e+01,16,CG,500,1.02e-04,0,0.6332,58.1615
95,37713.441691,3.002854e+01,16,CG,500,1.05e-04,0,0.6114,58.7729
96,37670.439161,2.993387e+01,16,CG,500,1.08e-04,0,0.6491,59.4220
97,37627.081763,2.979859e+01,16,CG,500,1.13e-04,0,0.6651,60.0871
98,37584.496727,2.970522e+01,16,CG,500,1.16e-04,0,0.6623,60.7495
99,37542.116635,2.961240e+01,16,CG,500,1.19e-04,0,0.6714,61.4209
100,37499.933521,2.952010e+01,15,CG,500,1.23e-04,0,0.6642,62.0851
