step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.744764,1.841921e+01,9,CG,6,2.66e-09,0,0.6864,0.6864
2,14048.680601,1.788270e+01,4,CG,6,2.65e-09,0,0.2923,0.9787
3,14048.589708,1.709486e+01,4,CG,6,2.65e-09,0,0.2865,1.2652
4,14048.491910,1.620572e+01,4,CG,6,2.65e-09,0,0.2905,1.5558
5,14048.396831,1.529299e+01,4,CG,6,2.65e-09,0,0.2948,1.8505
6,14048.308674,1.439598e+01,4,CG,6,2.65e-09,0,0.2902,2.1407
7,14048.228903,1.353367e+01,4,CG,6,2.65e-09,0,0.2819,2.4226
8,14048.157659,1.271437e+01,4,CG,6,2.65e-09,0,0.2808,2.7034
9,14048.094489,1.194082e+01,4,CG,6,2.65e-09,0,0.2811,2.9846
10,14048.038702,1.121297e+01,4,CG,6,2.64e-09,0,0.2824,3.2670
11,14047.989546,1.052934e+01,4,CG,6,2.64e-09,0,0.2831,3.5501
12,14047.946286,9.887855e+00,4,CG,6,2.64e-09,0,0.2828,3.8328
13,14047.908240,9.286159e+00,4,CG,6,2.64e-09,0,0.2815,4.1143
14,14047.874793,8.721874e+00,4,CG,6,2.64e-09,0,0.2812,4.3955
15,14047.845393,8.192674e+00,4,CG,6,2.64e-09,0,0.2827,4.6782
16,14047.819553,7.696337e+00,4,CG,6,2.64e-09,0,0.2815,4.9597
17,14047.796842,7.230767e+00,4,CG,6,2.63e-09,0,0.2819,5.2416
18,14047.776881,6.793996e+00,4,CG,6,2.63e-09,0,0.2812,5.5228
19,14047.759335,6.384182e+00,4,CG,6,2.63e-09,0,0.2819,5.8047
20,14047.743912,5.999604e+00,4,CG,6,2.63e-09,0,0.2836,6.0883
21,14047.730354,5.638658e+00,4,CG,6,2.63e-09,0,0.2823,6.3705
22,14047.718434,5.299843e+00,4,CG,6,2.63e-09,0,0.2826,6.6532
23,14047.707955,4.981761e+00,4,CG,6,2.63e-09,0,0.2835,6.9366
24,14047.698740,4.683105e+00,4,CG,6,2.63e-09,0,0.2837,7.2204
25,14047.690637,4.402656e+00,4,CG,6,2.62e-09,0,0.2812,7.5016
26,14047.683511,4.139272e+00,4,CG,6,2.62e-09,0,0.2814,7.7830
27,14047.677243,3.891889e+00,4,CG,6,2.62e-09,0,0.2824,8.0655
28,14047.671731,3.659511e+00,4,CG,6,2.62e-09,0,0.2811,8.3466
29,14047.666882,3.441206e+00,4,CG,6,2.62e-09,0,0.2820,8.6286
30,14047.662616,3.236103e+00,4,CG,6,2.62e-09,0,0.2862,8.9148
31,14047.658862,3.043386e+00,4,CG,6,2.62e-09,0,0.2789,9.1937
32,14047.655560,2.862291e+00,4,CG,6,2.62e-09,0,0.2797,9.4734
33,14047.652654,2.692106e+00,4,CG,6,2.62e-09,0,0.2824,9.7558
34,14047.650096,2.532158e+00,4,CG,6,2.62e-09,0,0.2795,10.0353
