step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.519531,4.225708e+01,21,CG,500,6.52e-07,0,0.4377,0.4377
2,42901.789062,4.217417e+01,14,CG,500,6.81e-07,0,0.4385,0.8762
3,42846.867188,4.205029e+01,14,CG,500,7.27e-07,0,0.4404,1.3167
4,42783.082031,4.190614e+01,16,CG,500,7.85e-07,0,0.4411,1.7578
5,42715.093750,4.175220e+01,18,CG,500,8.51e-07,0,0.4636,2.2214
6,42645.250000,4.159332e+01,15,CG,500,9.25e-07,0,0.4400,2.6614
7,42574.710938,4.143280e+01,16,CG,500,1.01e-06,0,0.4402,3.1016
8,42504.062500,4.127142e+01,15,CG,500,1.09e-06,0,0.4523,3.5539
9,42433.585938,4.111022e+01,18,CG,500,1.19e-06,0,0.4480,4.0019
10,42363.437500,4.094964e+01,15,CG,500,1.29e-06,0,0.4404,4.4423
11,42293.671875,4.078966e+01,17,CG,500,1.40e-06,0,0.4355,4.8778
12,42224.335938,4.062994e+01,14,CG,500,1.52e-06,0,0.4802,5.3580
13,42155.433594,4.047108e+01,16,CG,500,1.64e-06,0,0.5105,5.8685
14,42086.968750,4.031279e+01,18,CG,500,1.78e-06,0,0.5048,6.3733
15,42018.953125,4.015536e+01,2000,CG,500,1.92e-06,0,1.0404,7.4137
16,41951.378906,3.999852e+01,18,CG,500,2.07e-06,0,0.4388,7.8525
17,41884.234375,3.984264e+01,17,CG,500,2.23e-06,0,0.4419,8.2943
18,41817.531250,3.968726e+01,15,CG,500,2.40e-06,0,0.4406,8.7350
19,41751.265625,3.953279e+01,15,CG,500,2.58e-06,0,0.4391,9.1741
20,41685.421875,3.937899e+01,16,CG,500,2.78e-06,0,0.4431,9.6172
21,41619.996094,3.922558e+01,15,CG,500,2.99e-06,0,0.4405,10.0577
22,41555.000000,3.907342e+01,18,CG,500,3.20e-06,0,0.4446,10.5023
23,41490.414062,3.892189e+01,15,CG,500,3.44e-06,0,0.4409,10.9432
24,41426.242188,3.877083e+01,15,CG,500,3.68e-06,0,0.4358,11.3790
25,41362.476562,3.862080e+01,15,CG,500,3.95e-06,0,0.4463,11.8253
26,41299.125000,3.847145e+01,16,CG,500,4.23e-06,0,0.4401,12.2654
27,41236.167969,3.832283e+01,16,CG,500,4.52e-06,0,0.4470,12.7123
28,41173.609375,3.817488e+01,14,CG,500,4.83e-06,0,0.4409,13.1532
29,41111.445312,3.802789e+01,15,CG,500,5.16e-06,0,0.4780,13.6312
30,41049.671875,3.788137e+01,16,CG,500,5.51e-06,0,0.4980,14.1291
31,40988.285156,3.773556e+01,15,CG,500,5.88e-06,0,0.4988,14.6279
32,40927.281250,3.759071e+01,18,CG,500,6.26e-06,0,0.4943,15.1222
33,40866.656250,3.744666e+01,16,CG,500,6.67e-06,0,0.4963,15.6185
34,40806.406250,3.730307e+01,16,CG,500,7.10e-06,0,0.5013,16.1198
35,40746.531250,3.716056e+01,15,CG,500,7.55e-06,0,0.5019,16.6217
36,40687.019531,3.701849e+01,16,CG,500,8.02e-06,0,0.5007,17.1224
37,40627.882812,3.687720e+01,15,CG,500,8.51e-06,0,0.5028,17.6252
38,40569.097656,3.673675e+01,15,CG,500,9.03e-06,0,0.5013,18.1265
39,40510.671875,3.659681e+01,17,CG,500,9.57e-06,0,0.5008,18.6273
40,40452.601562,3.645770e+01,15,CG,500,1.01e-05,0,0.4383,19.0656
41,40394.890625,3.631940e+01,15,CG,500,1.07e-05,0,0.4480,19.5136
42,40337.519531,3.618172e+01,2000,CG,500,1.13e-05,0,1.0421,20.5557
