step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854660e+01,9,CG,6,2.66e-09,0,0.5861,0.5861
2,14048.677734,1.798702e+01,4,CG,6,2.65e-09,0,0.1795,0.7656
3,14048.589844,1.725258e+01,4,CG,6,2.65e-09,0,0.1730,0.9386
4,14048.488281,1.633283e+01,4,CG,6,2.65e-09,0,0.1721,1.1107
5,14048.396484,1.539720e+01,4,CG,6,2.65e-09,0,0.1750,1.2857
6,14048.308594,1.446171e+01,5,CG,6,2.65e-09,0,0.1774,1.4632
7,14048.228516,1.356387e+01,4,CG,6,2.65e-09,0,0.1743,1.6375
8,14048.158203,1.271840e+01,5,CG,6,2.65e-09,0,0.1784,1.8159
9,14048.093750,1.192273e+01,4,CG,6,2.65e-09,0,0.1751,1.9910
10,14048.036133,1.117519e+01,4,CG,6,2.64e-09,0,0.1742,2.1651
11,14047.989258,1.047838e+01,4,CG,6,2.64e-09,0,0.1736,2.3388
12,14047.944336,9.818686e+00,4,CG,6,2.64e-09,0,0.1730,2.5118
13,14047.909180,9.197510e+00,5,CG,6,2.64e-09,0,0.1742,2.6860
14,14047.873047,8.703002e+00,4,CG,6,2.64e-09,0,0.1757,2.8617
15,14047.845703,8.156083e+00,4,CG,6,2.64e-09,0,0.1731,3.0348
16,14047.817383,7.646942e+00,4,CG,6,2.64e-09,0,0.1729,3.2078
17,14047.795898,7.172576e+00,6,CG,6,2.63e-09,0,0.1734,3.3811
18,14047.775391,6.741544e+00,5,CG,6,2.63e-09,0,0.1732,3.5544
19,14047.758789,6.319431e+00,4,CG,6,2.63e-09,0,0.1730,3.7274
20,14047.739258,5.924815e+00,4,CG,6,2.63e-09,0,0.1721,3.8995
21,14047.728516,5.555862e+00,4,CG,6,2.63e-09,0,0.1736,4.0730
22,14047.717773,5.207308e+00,4,CG,6,2.63e-09,0,0.1753,4.2483
23,14047.707031,4.880422e+00,4,CG,6,2.63e-09,0,0.1719,4.4202
24,14047.700195,4.574604e+00,4,CG,6,2.63e-09,0,0.1734,4.5936
25,14047.687500,4.288918e+00,4,CG,6,2.62e-09,0,0.1759,4.7694
26,14047.681641,4.024859e+00,4,CG,6,2.62e-09,0,0.1725,4.9419
27,14047.677734,3.774735e+00,5,CG,6,2.62e-09,0,0.1709,5.1128
28,14047.671875,3.541483e+00,4,CG,6,2.62e-09,0,0.1736,5.2864
29,14047.666992,3.652684e+00,5,CG,6,2.62e-09,0,0.1730,5.4594
30,14047.660156,3.439445e+00,4,CG,6,2.62e-09,0,0.1731,5.6325
31,14047.656250,3.232779e+00,4,CG,6,2.62e-09,0,0.1747,5.8072
32,14047.654297,3.042812e+00,4,CG,6,2.62e-09,0,0.1735,5.9807
