step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854892e+01,9,CG,6,2.66e-09,0,1.4762,1.4762
2,14047.981445,1.037283e+01,4,CG,6,2.65e-09,0,1.2079,2.6842
3,14047.696289,4.559888e+00,5,CG,6,2.63e-09,0,1.1020,3.7861
4,14047.635742,1.510208e+00,5,CG,6,2.62e-09,0,1.1232,4.9093
5,14047.630859,6.312056e-01,5,CG,6,2.61e-09,0,1.2026,6.1119
6,14047.634766,9.193068e-01,5,CG,6,2.60e-09,0,1.1424,7.2544
7,14047.630859,7.323103e-01,4,CG,6,2.60e-09,0,0.9621,8.2164
8,14047.632812,4.877605e-01,5,CG,6,2.60e-09,0,1.3243,9.5407
9,14047.631836,2.827892e-01,4,CG,6,2.59e-09,0,1.0979,10.6385
10,14047.632812,1.316395e-01,4,CG,6,2.60e-09,0,1.1345,11.7730
11,14047.628906,3.845692e-02,4,CG,6,2.60e-09,0,1.3144,13.0874
12,14047.631836,3.013515e-02,4,CG,6,2.60e-09,0,1.1341,14.2215
13,14047.632812,2.803326e-02,4,CG,6,2.60e-09,0,1.2982,15.5197
14,14047.629883,1.938057e-02,4,CG,6,2.60e-09,0,1.0648,16.5845
15,14047.630859,1.226425e-02,3,CG,6,2.60e-09,0,1.2314,17.8159
16,14047.630859,7.545948e-03,4,CG,6,2.60e-09,0,1.3234,19.1392
17,14047.632812,4.179478e-03,3,CG,6,2.60e-09,0,1.2602,20.3994
18,14047.630859,1.225948e-03,3,CG,6,2.60e-09,0,1.0923,21.4917
19,14047.633789,3.145695e-03,3,CG,6,2.60e-09,0,1.2002,22.6919
20,14047.630859,5.015373e-03,2,CG,6,2.60e-09,0,0.9025,23.5944
21,14047.629883,3.211975e-03,3,CG,6,2.60e-09,0,1.0969,24.6914
22,14047.632812,2.017021e-03,3,CG,6,2.60e-09,0,1.3345,26.0258
23,14047.628906,8.239746e-04,3,CG,6,2.60e-09,0,1.3608,27.3866
24,14047.630859,4.196167e-03,3,CG,6,2.60e-09,0,1.2062,28.5929
25,14047.630859,2.197266e-03,3,CG,6,2.60e-09,0,1.1775,29.7704
26,14047.630859,1.708984e-03,3,CG,6,2.60e-09,0,1.3605,31.1309
27,14047.628906,2.105713e-03,3,CG,6,2.60e-09,0,1.0608,32.1916
28,14047.626953,8.964539e-04,3,CG,6,2.60e-09,0,1.1853,33.3770
29,14047.627930,8.552551e-03,1,CG,6,2.60e-09,0,1.2209,34.5979
30,14047.627930,8.096695e-04,3,CG,6,2.60e-09,0,1.3300,35.9279
