step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.744764,1.841921e+01,9,CG,6,2.66e-09,0,0.7295,0.7295
2,14047.982766,1.044325e+01,5,CG,6,2.65e-09,0,0.2887,1.0182
3,14047.697798,4.700365e+00,5,CG,6,2.63e-09,0,0.2831,1.3012
4,14047.635925,1.359420e+00,5,CG,6,2.62e-09,0,0.2817,1.5829
5,14047.632081,6.365885e-01,5,CG,6,2.61e-09,0,0.2804,1.8633
6,14047.633464,9.149909e-01,5,CG,6,2.60e-09,0,0.2813,2.1446
7,14047.632906,7.301235e-01,5,CG,6,2.60e-09,0,0.2821,2.4267
8,14047.631943,4.907883e-01,4,CG,6,2.59e-09,0,0.2835,2.7102
9,14047.631410,2.837398e-01,4,CG,6,2.59e-09,0,0.2840,2.9942
10,14047.631232,1.310569e-01,4,CG,6,2.60e-09,0,0.2829,3.2771
11,14047.631196,4.030429e-02,4,CG,6,2.60e-09,0,0.2821,3.5592
12,14047.631193,3.048296e-02,4,CG,6,2.60e-09,0,0.2840,3.8433
13,14047.631193,2.860008e-02,4,CG,6,2.60e-09,0,0.2872,4.1305
14,14047.631192,1.918746e-02,4,CG,6,2.60e-09,0,0.2826,4.4131
15,14047.631191,1.297907e-02,4,CG,6,2.60e-09,0,0.3050,4.7181
16,14047.631191,7.643895e-03,3,CG,6,2.60e-09,0,0.3134,5.0315
17,14047.631190,3.639508e-03,3,CG,6,2.60e-09,0,0.2986,5.3301
18,14047.631190,1.389359e-03,3,CG,6,2.60e-09,0,0.3289,5.6590
19,14047.631190,1.081711e-03,3,CG,6,2.60e-09,0,0.3365,5.9955
20,14047.631190,8.171653e-04,3,CG,6,2.60e-09,0,0.3064,6.3019
21,14047.631190,4.758339e-04,3,CG,6,2.60e-09,0,0.3038,6.6057
