step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.542181,4.225882e+01,23,CG,500,6.51e-07,0,0.6209,0.6209
2,42394.027378,4.101865e+01,18,CG,500,1.25e-06,0,0.6482,1.2690
3,41788.983096,3.961401e+01,19,CG,500,2.50e-06,0,0.6261,1.8951
4,41175.512746,3.816399e+01,19,CG,500,4.91e-06,0,0.6310,2.5261
5,40577.626427,3.672955e+01,19,CG,500,9.21e-06,0,0.6350,3.1611
6,40005.313147,3.534123e+01,19,CG,500,1.62e-05,0,0.6355,3.7966
7,39461.699210,3.401390e+01,19,CG,500,2.72e-05,0,0.6448,4.4414
8,38946.676753,3.275413e+01,19,CG,500,4.30e-05,0,0.6438,5.0852
9,38458.695948,3.160882e+01,19,CG,500,6.45e-05,0,0.6442,5.7294
10,37995.629144,3.056601e+01,19,CG,500,9.29e-05,0,0.6477,6.3771
11,37554.618561,2.953676e+01,18,CG,500,1.30e-04,0,0.6435,7.0206
12,37134.994831,2.860537e+01,18,CG,500,1.74e-04,0,0.6580,7.6786
13,36733.927898,2.773126e+01,18,CG,500,2.23e-04,0,0.6381,8.3168
14,36349.406454,2.690494e+01,17,CG,500,2.80e-04,0,0.6541,8.9709
15,35979.892791,2.612836e+01,17,CG,500,3.42e-04,0,0.6408,9.6117
16,35623.863306,2.539588e+01,15,CG,500,4.09e-04,0,0.6392,10.2509
17,35280.030607,2.470426e+01,16,CG,500,4.79e-04,0,0.6730,10.9239
18,34947.273582,2.405058e+01,17,CG,500,5.51e-04,0,0.6870,11.6109
19,34624.606623,2.343207e+01,17,CG,500,6.22e-04,0,0.6577,12.2687
20,34311.166992,2.284620e+01,18,CG,500,6.92e-04,0,0.6641,12.9328
21,34006.200145,2.229070e+01,18,CG,500,7.59e-04,0,0.6526,13.5854
22,33709.040781,2.176344e+01,18,CG,500,8.21e-04,0,0.6456,14.2310
23,33419.105414,2.126252e+01,18,CG,500,8.79e-04,0,0.6559,14.8869
24,33135.881583,2.078619e+01,18,CG,500,9.31e-04,0,0.6576,15.5445
25,32858.915151,2.033283e+01,18,CG,500,9.77e-04,0,0.6552,16.1997
26,32587.804934,1.990094e+01,18,CG,500,1.02e-03,0,0.6594,16.8591
