step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
75,13005.158203,3.323284e-01,6,CG,8,3.92e-09,0,1.0747,106.9339
76,13004.269531,3.283750e-01,6,CG,8,3.91e-09,0,1.2724,108.2063
77,13003.402344,3.245156e-01,5,CG,8,3.90e-09,0,1.3400,109.5463
78,13002.553711,3.207502e-01,6,CG,8,3.89e-09,0,1.4012,110.9475
79,13001.723633,3.170730e-01,5,CG,8,3.88e-09,0,1.1519,112.0994
80,13000.912109,3.134818e-01,7,CG,8,3.87e-09,0,1.7915,113.8909
81,13000.115234,3.099703e-01,5,CG,8,3.87e-09,0,1.3055,115.1964
82,12999.337891,3.065395e-01,6,CG,8,3.86e-09,0,1.4392,116.6356
83,12998.575195,3.031893e-01,6,CG,8,3.86e-09,0,1.2059,117.8415
84,12997.828125,2.999091e-01,6,CG,8,3.86e-09,0,1.1706,119.0121
85,12997.096680,2.967013e-01,6,CG,8,3.86e-09,0,1.4019,120.4140
86,12996.378906,2.935709e-01,5,CG,8,3.85e-09,0,1.4095,121.8235
87,12995.676758,2.904983e-01,5,CG,8,3.85e-09,0,1.1458,122.9694
88,12994.986328,2.874911e-01,5,CG,8,3.85e-09,0,1.3189,124.2883
89,12994.311523,2.845495e-01,5,CG,8,3.85e-09,0,1.1303,125.4186
90,12993.647461,2.816667e-01,5,CG,8,3.85e-09,0,1.2151,126.6337
91,12992.999023,2.788459e-01,5,CG,8,3.84e-09,0,1.3051,127.9388
92,12992.359375,2.760827e-01,6,CG,8,3.84e-09,0,1.2749,129.2137
93,12991.733398,2.733711e-01,5,CG,8,3.84e-09,0,1.0909,130.3046
94,12991.119141,2.707190e-01,5,CG,8,3.84e-09,0,1.6177,131.9223
95,12990.515625,2.681130e-01,5,CG,8,3.84e-09,0,1.3882,133.3106
96,12989.921875,2.655593e-01,6,CG,8,3.84e-09,0,1.5314,134.8420
97,12989.341797,2.630583e-01,6,CG,8,3.83e-09,0,1.2439,136.0859
98,12988.769531,2.605993e-01,6,CG,8,3.83e-09,0,1.1310,137.2169
99,12988.207031,2.581893e-01,5,CG,8,3.83e-09,0,0.9928,138.2097
100,12987.656250,2.558243e-01,5,CG,8,3.83e-09,0,1.2200,139.4296
