step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.744764,1.841921e+01,9,CG,6,2.66e-09,0,0.6864,0.6864
2,14047.982766,1.044325e+01,5,CG,6,2.65e-09,0,0.2899,0.9763
3,14047.697798,4.700365e+00,5,CG,6,2.63e-09,0,0.2815,1.2578
4,14047.635925,1.359420e+00,5,CG,6,2.62e-09,0,0.2818,1.5396
5,14047.632081,6.365885e-01,5,CG,6,2.61e-09,0,0.2843,1.8239
6,14047.633464,9.149909e-01,5,CG,6,2.60e-09,0,0.2821,2.1060
7,14047.632906,7.301235e-01,5,CG,6,2.60e-09,0,0.2831,2.3891
8,14047.631943,4.907883e-01,4,CG,6,2.59e-09,0,0.2824,2.6716
9,14047.631410,2.837398e-01,4,CG,6,2.59e-09,0,0.2826,2.9541
10,14047.631232,1.310569e-01,4,CG,6,2.60e-09,0,0.2827,3.2368
11,14047.631196,4.030429e-02,4,CG,6,2.60e-09,0,0.2830,3.5198
12,14047.631193,3.048296e-02,4,CG,6,2.60e-09,0,0.2833,3.8031
13,14047.631193,2.860008e-02,4,CG,6,2.60e-09,0,0.2830,4.0861
14,14047.631192,1.918746e-02,4,CG,6,2.60e-09,0,0.2832,4.3692
15,14047.631191,1.297907e-02,4,CG,6,2.60e-09,0,0.2847,4.6540
16,14047.631191,7.643895e-03,3,CG,6,2.60e-09,0,0.2839,4.9379
17,14047.631190,3.639508e-03,3,CG,6,2.60e-09,0,0.2855,5.2234
18,14047.631190,1.389359e-03,3,CG,6,2.60e-09,0,0.2867,5.5101
19,14047.631190,1.081711e-03,3,CG,6,2.60e-09,0,0.2850,5.7951
20,14047.631190,8.171653e-04,3,CG,6,2.60e-09,0,0.2828,6.0779
21,14047.631190,4.758339e-04,3,CG,6,2.60e-09,0,0.2830,6.3609
