step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854654e+01,9,CG,6,2.66e-09,0,0.6220,0.6220
2,14048.677734,1.798718e+01,4,CG,6,2.65e-09,0,0.2101,0.8321
3,14048.589844,1.725243e+01,4,CG,6,2.65e-09,0,0.2027,1.0348
4,14048.492188,1.633332e+01,4,CG,6,2.65e-09,0,0.2130,1.2478
5,14048.394531,1.539677e+01,5,CG,6,2.65e-09,0,0.2033,1.4510
6,14048.307617,1.446120e+01,4,CG,6,2.65e-09,0,0.2052,1.6562
7,14048.228516,1.356454e+01,4,CG,6,2.65e-09,0,0.2029,1.8591
8,14048.156250,1.271814e+01,5,CG,6,2.65e-09,0,0.1985,2.0577
9,14048.091797,1.192261e+01,5,CG,6,2.65e-09,0,0.2015,2.2592
10,14048.036133,1.117522e+01,4,CG,6,2.64e-09,0,0.2042,2.4634
11,14047.989258,1.047842e+01,4,CG,6,2.64e-09,0,0.1987,2.6621
12,14047.943359,9.818690e+00,4,CG,6,2.64e-09,0,0.2042,2.8663
13,14047.908203,9.197940e+00,5,CG,6,2.64e-09,0,0.2007,3.0670
14,14047.873047,8.703250e+00,4,CG,6,2.64e-09,0,0.2034,3.2704
15,14047.845703,8.156967e+00,4,CG,6,2.64e-09,0,0.2040,3.4744
16,14047.818359,7.646854e+00,4,CG,6,2.64e-09,0,0.2071,3.6815
17,14047.795898,7.172062e+00,4,CG,6,2.63e-09,0,0.1979,3.8794
18,14047.779297,6.741268e+00,4,CG,6,2.63e-09,0,0.1986,4.0780
19,14047.758789,6.319340e+00,5,CG,6,2.63e-09,0,0.2103,4.2883
20,14047.739258,5.924760e+00,4,CG,6,2.63e-09,0,0.2006,4.4890
21,14047.728516,5.556141e+00,4,CG,6,2.63e-09,0,0.2018,4.6908
22,14047.717773,5.206884e+00,5,CG,6,2.63e-09,0,0.2022,4.8930
23,14047.707031,4.880211e+00,4,CG,6,2.63e-09,0,0.2003,5.0933
24,14047.696289,4.574516e+00,4,CG,6,2.63e-09,0,0.2074,5.3006
25,14047.687500,4.288492e+00,5,CG,6,2.62e-09,0,0.1838,5.4844
26,14047.681641,4.025229e+00,4,CG,6,2.62e-09,0,0.1837,5.6682
27,14047.675781,3.775866e+00,4,CG,6,2.62e-09,0,0.1983,5.8664
28,14047.671875,3.541944e+00,5,CG,6,2.62e-09,0,0.2027,6.0691
29,14047.667969,3.652618e+00,4,CG,6,2.62e-09,0,0.2022,6.2713
30,14047.660156,3.439929e+00,4,CG,6,2.62e-09,0,0.2028,6.4741
31,14047.656250,3.232750e+00,4,CG,6,2.62e-09,0,0.2047,6.6788
32,14047.654297,3.043329e+00,4,CG,6,2.62e-09,0,0.2030,6.8818
33,14047.652344,2.867271e+00,5,CG,6,2.62e-09,0,0.2017,7.0835
34,14047.644531,2.690934e+00,4,CG,6,2.62e-09,0,0.2064,7.2898
35,14047.644531,2.523973e+00,4,CG,6,2.61e-09,0,0.1992,7.4890
36,14047.642578,2.369197e+00,4,CG,6,2.61e-09,0,0.2040,7.6930
37,14047.641602,2.223687e+00,4,CG,6,2.61e-09,0,0.2030,7.8960
38,14047.644531,2.087149e+00,4,CG,6,2.61e-09,0,0.2013,8.0973
39,14047.642578,1.960140e+00,4,CG,6,2.61e-09,0,0.2042,8.3015
40,14047.642578,1.839368e+00,4,CG,6,2.61e-09,0,0.2018,8.5033
41,14047.636719,1.725188e+00,4,CG,6,2.61e-09,0,0.2090,8.7123
42,14047.640625,1.619147e+00,4,CG,6,2.61e-09,0,0.2014,8.9137
43,14047.633789,1.519758e+00,4,CG,6,2.61e-09,0,0.2029,9.1165
44,14047.633789,1.427636e+00,4,CG,6,2.61e-09,0,0.2046,9.3212
45,14047.636719,1.339027e+00,4,CG,6,2.61e-09,0,0.2007,9.5219
46,14047.636719,1.264475e+00,4,CG,6,2.61e-09,0,0.2148,9.7367
47,14047.630859,1.237776e+00,4,CG,6,2.61e-09,0,0.2132,9.9498
48,14047.632812,1.183549e+00,5,CG,6,2.61e-09,0,0.2134,10.1632
49,14047.632812,1.112762e+00,4,CG,6,2.61e-09,0,0.1933,10.3565
50,14047.634766,1.052058e+00,4,CG,6,2.61e-09,0,0.1913,10.5478
