step,nll_sum,grad_inf,n_active,e_iters,step_time_s,cumulative_time_s
0,42941.777344,1.274000e+02,100,23,29.8725,29.8725
1,36089.292969,1.505790e+02,100,1,24.7294,54.6019
2,32099.230469,1.233941e+01,100,1,6.5439,61.1458
3,27125.177734,1.088794e+02,100,5,8.3494,69.4952
4,20347.974609,1.045693e+02,100,5,25.4573,94.9526
5,18410.566406,7.265386e+01,100,7,14.9547,109.9073
6,16998.701172,2.394241e+01,100,7,10.7354,120.6427
7,15914.020508,4.992952e+01,100,7,10.3557,130.9984
8,15340.618164,2.088290e+01,100,7,9.1821,140.1806
9,15021.194336,1.527663e+01,100,7,9.3290,149.5096
10,14866.040039,9.167949e+00,100,7,8.6551,158.1647
11,14789.622070,6.999998e+00,100,7,8.2145,166.3792
12,14751.011719,7.000000e+00,100,7,8.1020,174.4813
13,14668.289062,6.999938e+00,100,7,7.3726,181.8539
14,14381.330078,6.988942e+00,98,4,8.1285,189.9823
15,14077.246094,5.995069e+00,97,2000,14.7299,204.7123
16,14007.387695,2.317104e+01,93,7,11.7182,216.4305
17,13961.155273,8.969754e+00,84,7,12.2559,228.6864
18,13944.280273,7.799712e+00,73,7,12.0956,240.7820
19,13941.492188,5.995074e+00,66,7,10.6089,251.3909
20,13932.349609,5.995071e+00,60,7,11.7853,263.1761
21,13931.679688,5.995072e+00,56,7,10.3878,273.5640
22,13929.885742,5.995073e+00,56,7,12.3955,285.9594
23,13929.777344,5.995071e+00,51,7,10.9768,296.9362
24,13929.769531,5.995072e+00,49,7,10.1423,307.0785
25,13889.240234,5.686147e+00,48,4,10.7886,317.8671
26,13865.236328,1.999993e+00,48,4,10.4865,328.3536
27,13858.687500,2.000136e+01,47,4,11.1585,339.5121
28,13830.999023,8.972736e+00,46,4,11.6436,351.1557
29,13826.855469,1.760697e+00,44,4,10.1398,361.2955
30,13822.588867,1.156596e+00,43,4,9.5069,370.8024
31,13821.247070,3.451507e+00,43,4,10.0460,380.8483
32,13819.604492,9.986523e-01,42,4,10.2430,391.0914
33,13818.597656,9.972662e-01,42,4,11.9740,403.0654
34,13812.701172,1.237984e+00,42,4,11.7469,414.8123
35,13811.961914,1.316826e+00,42,4,11.9073,426.7195
36,13811.619141,6.295968e-01,42,4,10.7077,437.4272
37,13811.503906,1.134617e-01,42,4,10.6546,448.0818
38,13811.493164,3.420927e-02,42,4,10.7353,458.8171
39,13811.492188,2.922392e-02,41,4,10.2606,469.0778
40,13811.492188,1.329660e-02,41,4,10.2227,479.3004
41,13811.492188,3.366575e-03,41,4,10.6061,489.9065
42,13811.492188,6.944068e-03,41,4,10.3094,500.2160
43,13811.492188,6.940253e-03,40,4,10.6710,510.8869
44,13811.492188,6.966904e-03,39,4,11.0776,521.9645
45,13811.492188,6.938353e-03,38,4,11.0432,533.0078
46,13811.492188,6.941691e-03,37,4,10.2841,543.2919
47,13811.492188,6.966405e-03,37,4,9.9448,553.2367
48,13811.492188,6.950252e-03,37,4,9.4753,562.7121
49,13811.492188,3.470473e-03,37,4,9.6785,572.3906
50,13811.492188,3.444299e-03,37,4,10.2432,582.6338
51,13811.492188,3.413320e-03,37,4,10.4074,593.0412
52,13811.492188,3.418095e-03,37,4,10.0756,603.1167
53,13811.492188,3.415212e-03,37,4,9.8033,612.9200
54,13811.492188,3.413320e-03,37,4,10.2339,623.1539
55,13811.492188,3.414266e-03,37,4,10.6030,633.7569
56,13811.492188,3.366545e-03,37,4,11.4346,645.1916
57,13811.492188,3.368020e-03,36,4,10.7557,655.9473
58,13811.492188,3.364697e-03,36,4,11.5035,667.4508
59,13811.492188,3.369436e-03,36,4,11.2067,678.6575
60,13811.492188,3.367558e-03,36,4,11.2581,689.9156
61,13811.492188,3.365666e-03,36,4,11.5559,701.4715
62,13811.492188,3.366619e-03,36,4,11.1837,712.6552
63,13811.492188,3.366619e-03,35,4,10.9328,723.5880
64,13811.492188,3.367499e-03,34,4,10.2833,733.8713
65,13811.492188,3.367528e-03,33,4,9.1167,742.9880
66,13811.492188,3.367975e-03,33,4,9.2698,752.2578
67,13811.492188,3.367022e-03,33,4,9.8189,762.0767
68,13811.492188,3.365636e-03,32,4,9.4546,771.5313
69,13811.492188,3.367096e-03,32,4,8.9151,780.4464
70,13811.492188,3.366143e-03,32,4,8.9095,789.3559
71,13811.492188,3.365651e-03,32,4,8.8926,798.2485
72,13811.492188,3.364697e-03,32,4,9.2830,807.5314
73,13811.492188,3.366143e-03,32,4,9.1967,816.7281
74,13811.492188,3.366143e-03,32,4,9.5702,826.2983
75,13811.492188,3.367022e-03,32,4,9.2950,835.5933
76,13811.492188,3.364235e-03,32,4,10.2127,845.8060
77,13811.492188,3.367528e-03,32,4,10.1882,855.9942
78,13811.492188,3.368482e-03,32,4,9.4233,865.4175
79,13811.492188,3.366560e-03,32,4,9.4721,874.8896
80,13811.492188,3.368020e-03,32,4,9.2033,884.0929
81,13811.492188,3.367081e-03,32,4,8.9715,893.0644
82,13811.492188,3.366128e-03,32,4,9.4411,902.5054
83,13811.492188,3.367573e-03,32,4,9.1639,911.6694
84,13811.492188,3.364667e-03,32,4,9.6485,921.3179
85,13811.492188,3.367603e-03,32,4,8.7511,930.0690
86,13811.492188,3.366143e-03,32,4,8.7431,938.8121
87,13811.492188,3.365651e-03,32,4,9.2663,948.0784
88,13811.492188,3.366113e-03,32,4,9.3103,957.3887
89,13811.492188,3.365621e-03,32,4,9.5875,966.9762
90,13811.492188,3.365621e-03,32,4,9.2290,976.2052
91,13811.492188,3.365591e-03,32,4,9.8140,986.0192
92,13811.492188,3.365636e-03,32,4,9.4385,995.4577
93,13811.492188,3.366590e-03,32,4,9.3971,1004.8548
94,13811.492188,3.367007e-03,32,4,9.6033,1014.4581
95,13811.492188,3.367096e-03,32,4,9.2205,1023.6786
96,13811.492188,3.366083e-03,32,4,9.0959,1032.7745
97,13811.492188,3.368050e-03,31,4,9.9887,1042.7632
98,13811.492188,3.368512e-03,31,4,9.9728,1052.7360
99,13811.492188,3.368035e-03,31,4,9.1682,1061.9042
100,13811.492188,3.367558e-03,31,4,8.5735,1070.4777
