step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.519531,4.225708e+01,21,CG,500,6.52e-07,0,0.5134,0.5134
2,42901.785156,4.217413e+01,14,CG,500,6.81e-07,0,0.5142,1.0276
3,42846.867188,4.205026e+01,15,CG,500,7.27e-07,0,0.5634,1.5910
4,42783.082031,4.190608e+01,18,CG,500,7.85e-07,0,0.5603,2.1513
5,42715.093750,4.175221e+01,16,CG,500,8.51e-07,0,0.4912,2.6425
6,42645.250000,4.159329e+01,15,CG,500,9.25e-07,0,0.4988,3.1414
7,42574.710938,4.143279e+01,17,CG,500,1.01e-06,0,0.4671,3.6085
8,42504.062500,4.127141e+01,15,CG,500,1.09e-06,0,0.4757,4.0842
9,42433.585938,4.111024e+01,16,CG,500,1.19e-06,0,0.5026,4.5868
10,42363.437500,4.094968e+01,15,CG,500,1.29e-06,0,0.4355,5.0223
11,42293.675781,4.078967e+01,16,CG,500,1.40e-06,0,0.4425,5.4649
12,42224.335938,4.062992e+01,15,CG,500,1.52e-06,0,0.4384,5.9033
13,42155.433594,4.047108e+01,16,CG,500,1.64e-06,0,0.4316,6.3349
14,42086.968750,4.031279e+01,15,CG,500,1.78e-06,0,0.4451,6.7800
15,42018.953125,4.015534e+01,16,CG,500,1.92e-06,0,0.4397,7.2196
16,41951.375000,3.999850e+01,16,CG,500,2.07e-06,0,0.4384,7.6580
17,41884.238281,3.984267e+01,16,CG,500,2.23e-06,0,0.4898,8.1478
18,41817.531250,3.968726e+01,16,CG,500,2.40e-06,0,0.4776,8.6255
19,41751.265625,3.953278e+01,15,CG,500,2.58e-06,0,0.4348,9.0602
20,41685.421875,3.937903e+01,2000,CG,500,2.78e-06,0,1.0602,10.1204
21,41619.996094,3.922557e+01,15,CG,500,2.99e-06,0,0.4432,10.5636
22,41555.000000,3.907336e+01,16,CG,500,3.20e-06,0,0.4581,11.0218
23,41490.414062,3.892188e+01,15,CG,500,3.44e-06,0,0.4444,11.4662
24,41426.242188,3.877081e+01,17,CG,500,3.68e-06,0,0.4415,11.9077
25,41362.480469,3.862075e+01,15,CG,500,3.95e-06,0,0.4329,12.3406
26,41299.125000,3.847144e+01,16,CG,500,4.23e-06,0,0.4417,12.7823
27,41236.167969,3.832284e+01,15,CG,500,4.52e-06,0,0.4404,13.2226
28,41173.609375,3.817486e+01,15,CG,500,4.83e-06,0,0.4411,13.6637
29,41111.445312,3.802789e+01,14,CG,500,5.16e-06,0,0.4396,14.1033
30,41049.671875,3.788131e+01,17,CG,500,5.51e-06,0,0.4473,14.5506
31,40988.285156,3.773559e+01,17,CG,500,5.88e-06,0,0.5018,15.0524
32,40927.281250,3.759070e+01,15,CG,500,6.26e-06,0,0.4876,15.5401
33,40866.660156,3.744664e+01,16,CG,500,6.67e-06,0,0.4364,15.9765
34,40806.406250,3.730308e+01,16,CG,500,7.10e-06,0,0.4692,16.4458
35,40746.531250,3.716058e+01,16,CG,500,7.55e-06,0,0.4434,16.8892
36,40687.023438,3.701849e+01,16,CG,500,8.02e-06,0,0.4651,17.3543
37,40627.882812,3.687715e+01,17,CG,500,8.51e-06,0,0.4441,17.7984
38,40569.097656,3.673673e+01,15,CG,500,9.03e-06,0,0.4379,18.2363
39,40510.671875,3.659679e+01,16,CG,500,9.57e-06,0,0.4417,18.6780
40,40452.605469,3.645774e+01,17,CG,500,1.01e-05,0,0.4352,19.1132
41,40394.890625,3.631937e+01,15,CG,500,1.07e-05,0,0.4418,19.5550
42,40337.519531,3.618173e+01,16,CG,500,1.13e-05,0,0.4427,19.9977
43,40280.496094,3.604480e+01,16,CG,500,1.20e-05,0,0.4428,20.4404
44,40223.812500,3.590862e+01,15,CG,500,1.27e-05,0,0.4512,20.8916
45,40167.460938,3.577318e+01,15,CG,500,1.34e-05,0,0.4350,21.3266
46,40111.445312,3.563837e+01,19,CG,500,1.41e-05,0,0.4375,21.7641
47,40055.765625,3.550442e+01,17,CG,500,1.49e-05,0,0.4389,22.2030
48,40000.410156,3.537113e+01,16,CG,500,1.57e-05,0,0.4444,22.6473
49,39945.378906,3.523853e+01,16,CG,500,1.65e-05,0,0.4506,23.0980
50,39890.667969,3.510664e+01,16,CG,500,1.74e-05,0,0.4482,23.5462
51,39836.277344,3.497557e+01,15,CG,500,1.83e-05,0,0.4439,23.9902
52,39782.199219,3.484514e+01,15,CG,500,1.92e-05,0,0.4396,24.4298
53,39728.429688,3.471515e+01,16,CG,500,2.02e-05,0,0.4637,24.8935
54,39674.976562,3.458637e+01,15,CG,500,2.12e-05,0,0.4432,25.3367
55,39621.828125,3.445822e+01,15,CG,500,2.23e-05,0,0.5138,25.8505
56,39568.976562,3.433067e+01,18,CG,500,2.34e-05,0,0.5097,26.3601
57,39516.425781,3.420394e+01,15,CG,500,2.46e-05,0,0.5901,26.9502
58,39464.171875,3.407787e+01,15,CG,500,2.57e-05,0,0.5723,27.5225
59,39412.210938,3.395250e+01,18,CG,500,2.70e-05,0,0.5745,28.0970
60,39360.539062,3.382777e+01,15,CG,500,2.82e-05,0,0.5209,28.6179
61,39309.148438,3.370404e+01,15,CG,500,2.96e-05,0,0.5135,29.1314
62,39258.050781,3.358064e+01,15,CG,500,3.09e-05,0,0.5185,29.6499
63,39207.230469,3.345821e+01,15,CG,500,3.23e-05,0,0.5689,30.2189
64,39156.691406,3.333621e+01,16,CG,500,3.38e-05,0,0.5670,30.7859
65,39106.421875,3.321493e+01,15,CG,500,3.53e-05,0,0.5692,31.3551
66,39056.433594,3.309423e+01,17,CG,500,3.68e-05,0,0.5325,31.8876
67,39006.710938,3.297466e+01,14,CG,500,3.84e-05,0,0.5217,32.4094
68,38957.253906,3.285551e+01,16,CG,500,4.00e-05,0,0.5696,32.9790
69,38908.058594,3.273697e+01,16,CG,500,4.17e-05,0,0.5740,33.5530
70,38859.125000,3.261915e+01,15,CG,500,4.34e-05,0,0.5737,34.1267
