step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.546429,4.225878e+01,23,CG,500,6.51e-07,0,0.6029,0.6029
2,42883.475109,4.213469e+01,16,CG,500,6.96e-07,0,0.6118,1.2147
3,42819.535430,4.199031e+01,16,CG,500,7.51e-07,0,0.6121,1.8268
4,42751.406330,4.183612e+01,16,CG,500,8.15e-07,0,0.6145,2.4413
5,42681.424691,4.167737e+01,16,CG,500,8.86e-07,0,0.5933,3.0346
6,42610.755848,4.151670e+01,16,CG,500,9.63e-07,0,0.6010,3.6355
7,42539.979725,4.135542e+01,16,CG,500,1.05e-06,0,0.5974,4.2330
8,42469.383883,4.119420e+01,16,CG,500,1.14e-06,0,0.5954,4.8283
9,42399.109898,4.103337e+01,16,CG,500,1.24e-06,0,0.5952,5.4235
10,42329.226478,4.087310e+01,16,CG,500,1.34e-06,0,0.5954,6.0189
11,42259.765959,4.071346e+01,16,CG,500,1.45e-06,0,0.6014,6.6203
12,42190.742524,4.055451e+01,16,CG,500,1.57e-06,0,0.5988,7.2192
13,42122.161306,4.039626e+01,16,CG,500,1.70e-06,0,0.6493,7.8685
14,42054.022706,4.023873e+01,16,CG,500,1.84e-06,0,0.6301,8.4986
15,41986.325515,4.008193e+01,16,CG,500,1.99e-06,0,0.5994,9.0980
16,41919.066564,3.992586e+01,16,CG,500,2.14e-06,0,0.6025,9.7005
17,41852.242953,3.977052e+01,16,CG,500,2.31e-06,0,0.6141,10.3146
18,41785.850911,3.961591e+01,16,CG,500,2.48e-06,0,0.6609,10.9755
19,41719.886741,3.946204e+01,16,CG,500,2.67e-06,0,0.6460,11.6215
20,41654.346689,3.930890e+01,16,CG,500,2.87e-06,0,0.6446,12.2661
21,41589.226980,3.915650e+01,16,CG,500,3.08e-06,0,0.6263,12.8924
22,41524.522975,3.900484e+01,16,CG,500,3.31e-06,0,0.5966,13.4891
23,41460.232631,3.885391e+01,16,CG,500,3.54e-06,0,0.6009,14.0900
24,41396.351329,3.870372e+01,16,CG,500,3.80e-06,0,0.5982,14.6882
25,41332.875328,3.855426e+01,16,CG,500,4.07e-06,0,0.6023,15.2905
26,41269.800904,3.840555e+01,16,CG,500,4.35e-06,0,0.5963,15.8867
27,41207.124230,3.825757e+01,16,CG,500,4.65e-06,0,0.6018,16.4886
28,41144.841847,3.811033e+01,16,CG,500,4.97e-06,0,0.6001,17.0886
29,41082.949964,3.796382e+01,16,CG,500,5.31e-06,0,0.5943,17.6830
30,41021.444922,3.781805e+01,16,CG,500,5.66e-06,0,0.6094,18.2924
31,40960.323089,3.767302e+01,16,CG,500,6.04e-06,0,0.6008,18.8932
32,40899.580850,3.752872e+01,16,CG,500,6.43e-06,0,0.5995,19.4927
33,40839.214605,3.738516e+01,16,CG,500,6.84e-06,0,0.6034,20.0961
34,40779.220776,3.724233e+01,16,CG,500,7.28e-06,0,0.6043,20.7004
35,40719.595812,3.710023e+01,16,CG,500,7.73e-06,0,0.6062,21.3066
36,40660.336176,3.695887e+01,16,CG,500,8.21e-06,0,0.6027,21.9092
37,40601.438358,3.681824e+01,16,CG,500,8.71e-06,0,0.6067,22.5160
38,40542.898868,3.667833e+01,16,CG,500,9.24e-06,0,0.6052,23.1211
39,40484.714236,3.653916e+01,16,CG,500,9.78e-06,0,0.5995,23.7206
40,40426.881014,3.640071e+01,16,CG,500,1.04e-05,0,0.6024,24.3231
41,40369.400759,3.626298e+01,16,CG,500,1.10e-05,0,0.5992,24.9223
42,40312.260116,3.612597e+01,16,CG,500,1.16e-05,0,0.6026,25.5249
43,40255.460694,3.598970e+01,16,CG,500,1.22e-05,0,0.6053,26.1302
44,40198.999128,3.585415e+01,16,CG,500,1.29e-05,0,0.6295,26.7596
45,40142.872090,3.571931e+01,16,CG,500,1.36e-05,0,0.6565,27.4161
46,40087.076273,3.558519e+01,16,CG,500,1.44e-05,0,0.6536,28.0698
47,40031.608396,3.545180e+01,16,CG,500,1.52e-05,0,0.6594,28.7291
48,39976.465197,3.531912e+01,16,CG,500,1.60e-05,0,0.6543,29.3834
49,39921.643441,3.518716e+01,16,CG,500,1.68e-05,0,0.6046,29.9880
50,39867.139918,3.505591e+01,16,CG,500,1.77e-05,0,0.6123,30.6003
51,39812.951443,3.492538e+01,16,CG,500,1.86e-05,0,0.5989,31.1992
52,39759.074857,3.479556e+01,16,CG,500,1.96e-05,0,0.6060,31.8052
53,39705.507025,3.466644e+01,16,CG,500,2.06e-05,0,0.6016,32.4068
54,39652.244838,3.453803e+01,16,CG,500,2.16e-05,0,0.6101,33.0169
55,39599.285214,3.441033e+01,16,CG,500,2.27e-05,0,0.6083,33.6252
56,39546.625096,3.428332e+01,16,CG,500,2.38e-05,0,0.6118,34.2371
57,39494.261454,3.415703e+01,16,CG,500,2.49e-05,0,0.6004,34.8374
58,39442.191275,3.403143e+01,16,CG,500,2.61e-05,0,0.6124,35.4498
59,39390.411583,3.390654e+01,16,CG,500,2.74e-05,0,0.5996,36.0494
60,39338.919418,3.378234e+01,16,CG,500,2.87e-05,0,0.6051,36.6545
61,39287.711843,3.365883e+01,16,CG,500,3.00e-05,0,0.6069,37.2613
62,39236.785960,3.353602e+01,16,CG,500,3.13e-05,0,0.6100,37.8713
63,39186.138891,3.341390e+01,16,CG,500,3.28e-05,0,0.6116,38.4829
64,39135.767778,3.329247e+01,16,CG,500,3.42e-05,0,0.6056,39.0885
65,39085.669795,3.317173e+01,16,CG,500,3.57e-05,0,0.6100,39.6985
66,39035.842142,3.305166e+01,16,CG,500,3.73e-05,0,0.6147,40.3132
67,38986.282054,3.293227e+01,16,CG,500,3.89e-05,0,0.6064,40.9196
68,38936.986775,3.281357e+01,16,CG,500,4.05e-05,0,0.6109,41.5305
69,38887.950994,3.269553e+01,16,CG,500,4.22e-05,0,0.6109,42.1415
