step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854721e+01,9,CG,6,2.66e-09,0,0.5849,0.5849
2,14047.979492,1.037599e+01,5,CG,6,2.65e-09,0,0.1922,0.7771
3,14047.696289,4.558007e+00,6,CG,6,2.63e-09,0,0.1815,0.9586
4,14047.634766,1.511812e+00,5,CG,6,2.62e-09,0,0.1862,1.1448
5,14047.630859,6.348190e-01,5,CG,6,2.61e-09,0,0.1797,1.3245
6,14047.632812,9.149446e-01,4,CG,6,2.60e-09,0,0.1805,1.5050
7,14047.632812,7.307501e-01,4,CG,6,2.60e-09,0,0.1964,1.7014
8,14047.632812,4.883027e-01,5,CG,6,2.59e-09,0,0.1814,1.8828
9,14047.632812,2.805882e-01,4,CG,6,2.59e-09,0,0.1858,2.0686
10,14047.632812,1.336823e-01,3,CG,6,2.60e-09,0,0.1814,2.2500
11,14047.630859,3.938818e-02,4,CG,6,2.60e-09,0,0.1817,2.4316
12,14047.628906,3.042507e-02,4,CG,6,2.60e-09,0,0.1821,2.6137
13,14047.632812,2.880096e-02,4,CG,6,2.60e-09,0,0.1824,2.7962
14,14047.632812,1.930141e-02,3,CG,6,2.60e-09,0,0.1782,2.9743
15,14047.631836,1.280880e-02,4,CG,6,2.60e-09,0,0.1818,3.1561
16,14047.628906,7.692337e-03,4,CG,6,2.60e-09,0,0.1830,3.3391
17,14047.630859,3.391743e-03,3,CG,6,2.60e-09,0,0.1782,3.5173
18,14047.628906,1.373291e-03,3,CG,6,2.60e-09,0,0.1795,3.6969
19,14047.631836,9.880066e-04,3,CG,6,2.60e-09,0,0.1812,3.8781
20,14047.629883,6.437302e-04,3,CG,6,2.60e-09,0,0.1813,4.0593
