step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.507812,4.225713e+01,21,CG,500,6.52e-07,0,0.5042,0.5042
2,42394.000000,4.101695e+01,17,CG,500,1.25e-06,0,0.5174,1.0216
3,41788.957031,3.961240e+01,19,CG,500,2.50e-06,0,0.5100,1.5317
4,41175.496094,3.816246e+01,18,CG,500,4.91e-06,0,0.5217,2.0533
5,40577.609375,3.672790e+01,18,CG,500,9.21e-06,0,0.5283,2.5816
6,40005.304688,3.533907e+01,19,CG,500,1.62e-05,0,0.5221,3.1038
7,39461.691406,3.401154e+01,19,CG,500,2.72e-05,0,0.4762,3.5799
8,38946.675781,3.275251e+01,18,CG,500,4.30e-05,0,0.4649,4.0448
9,38458.695312,3.160847e+01,18,CG,500,6.46e-05,0,0.5229,4.5677
10,37995.632812,3.056614e+01,18,CG,500,9.30e-05,0,0.4704,5.0381
11,37554.625000,2.953697e+01,17,CG,500,1.30e-04,0,0.5192,5.5573
12,37135.007812,2.860567e+01,17,CG,500,1.74e-04,0,0.5273,6.0845
13,36733.945312,2.773181e+01,17,CG,500,2.24e-04,0,0.5152,6.5998
14,36349.425781,2.690551e+01,17,CG,500,2.80e-04,0,0.5352,7.1350
15,35979.917969,2.612871e+01,15,CG,500,3.43e-04,0,0.5085,7.6435
16,35623.894531,2.539626e+01,14,CG,500,4.10e-04,0,0.4571,8.1006
17,35280.074219,2.470483e+01,15,CG,500,4.80e-04,0,0.4640,8.5646
18,34947.324219,2.405116e+01,15,CG,500,5.52e-04,0,0.4638,9.0284
19,34624.671875,2.343233e+01,18,CG,500,6.23e-04,0,0.5120,9.5404
20,34311.242188,2.284583e+01,17,CG,500,6.93e-04,0,0.5210,10.0614
21,34006.285156,2.228950e+01,19,CG,500,7.59e-04,0,0.5239,10.5853
22,33709.136719,2.176183e+01,18,CG,500,8.21e-04,0,0.5240,11.1092
23,33419.203125,2.126091e+01,17,CG,500,8.79e-04,0,0.5233,11.6325
24,33135.984375,2.078457e+01,18,CG,500,9.31e-04,0,0.5194,12.1519
25,32859.023438,2.033129e+01,19,CG,500,9.77e-04,0,0.5167,12.6687
26,32587.908203,1.989960e+01,16,CG,500,1.02e-03,0,0.4977,13.1664
27,32322.296875,1.948777e+01,16,CG,500,1.05e-03,0,0.4656,13.6320
28,32061.867188,1.909504e+01,16,CG,500,1.07e-03,0,0.4673,14.0993
29,31806.339844,1.871956e+01,18,CG,500,1.09e-03,0,0.4708,14.5701
30,31555.464844,1.836070e+01,17,CG,500,1.11e-03,0,0.5142,15.0843
31,31309.015625,1.801730e+01,16,CG,500,1.11e-03,0,0.4981,15.5825
32,31066.794922,1.768836e+01,17,CG,500,1.11e-03,0,0.4668,16.0492
