step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.507812,4.225715e+01,21,CG,500,6.52e-07,0,0.4923,0.4923
2,42573.968750,4.143005e+01,17,CG,500,1.01e-06,0,0.4976,0.9899
3,42044.429688,4.020870e+01,17,CG,500,1.88e-06,0,0.4584,1.4482
4,41453.667969,3.882009e+01,17,CG,500,3.64e-06,0,0.4345,1.8827
5,40853.140625,3.738349e+01,2000,CG,500,6.99e-06,0,1.0325,2.9152
6,40267.015625,3.596061e+01,19,CG,500,1.28e-05,0,0.4812,3.3964
7,39705.562500,3.458366e+01,20,CG,500,2.21e-05,0,0.4879,3.8843
8,39172.140625,3.326917e+01,18,CG,500,3.64e-05,0,0.4933,4.3776
9,38666.773438,3.204514e+01,18,CG,500,5.65e-05,0,0.5065,4.8840
10,38187.984375,3.095622e+01,18,CG,500,8.37e-05,0,0.5043,5.3883
11,37733.679688,2.992720e+01,17,CG,500,1.19e-04,0,0.4651,5.8534
12,37300.910156,2.890759e+01,17,CG,500,1.64e-04,0,0.4381,6.2915
13,36889.203125,2.799847e+01,18,CG,500,2.16e-04,0,0.4436,6.7351
14,36495.515625,2.713856e+01,18,CG,500,2.75e-04,0,0.4484,7.1835
15,36118.109375,2.633201e+01,16,CG,500,3.41e-04,0,0.4783,7.6618
16,35755.242188,2.557288e+01,2000,CG,500,4.12e-04,0,1.1010,8.7628
17,35405.472656,2.485786e+01,16,CG,500,4.88e-04,0,0.4908,9.2536
18,35067.515625,2.418331e+01,17,CG,500,5.65e-04,0,0.5029,9.7565
19,34740.269531,2.354644e+01,17,CG,500,6.43e-04,0,0.4981,10.2546
20,34422.777344,2.294351e+01,2000,CG,500,7.19e-04,0,1.1044,11.3590
21,34114.179688,2.237251e+01,16,CG,500,7.92e-04,0,0.5029,11.8619
22,33813.761719,2.183154e+01,19,CG,500,8.60e-04,0,0.5036,12.3656
23,33520.867188,2.131903e+01,18,CG,500,9.23e-04,0,0.5006,12.8662
24,33234.945312,2.083249e+01,17,CG,500,9.81e-04,0,0.5082,13.3744
25,32955.484375,2.037002e+01,16,CG,500,1.03e-03,0,0.4992,13.8736
26,32682.068359,1.993030e+01,16,CG,500,1.07e-03,0,0.5040,14.3776
27,32414.304688,1.951158e+01,17,CG,500,1.11e-03,0,0.5042,14.8818
28,32151.853516,1.911222e+01,17,CG,500,1.14e-03,0,0.4827,15.3645
29,31894.417969,1.873124e+01,18,CG,500,1.16e-03,0,0.5042,15.8687
30,31641.732422,1.836724e+01,18,CG,500,1.17e-03,0,0.5005,16.3693
31,31393.558594,1.801960e+01,16,CG,500,1.18e-03,0,0.4474,16.8166
32,31149.687500,1.768770e+01,2000,CG,500,1.18e-03,0,1.0469,17.8636
33,30909.916016,1.740743e+01,17,CG,500,1.17e-03,0,0.4435,18.3071
34,30674.085938,1.713663e+01,17,CG,500,1.16e-03,0,0.4736,18.7807
35,30442.037109,1.687331e+01,16,CG,500,1.15e-03,0,0.4976,19.2783
36,30213.568359,1.661529e+01,16,CG,500,1.13e-03,0,0.5003,19.7785
37,29988.687500,1.636550e+01,16,CG,500,1.10e-03,0,0.4713,20.2498
38,29767.230469,1.612266e+01,16,CG,500,1.07e-03,0,0.4397,20.6895
39,29549.082031,1.588629e+01,16,CG,500,1.04e-03,0,0.4418,21.1313
40,29334.134766,1.572123e+01,16,CG,500,1.00e-03,0,0.4494,21.5807
41,29122.304688,1.570483e+01,16,CG,500,9.67e-04,0,0.5011,22.0819
42,28913.503906,1.568226e+01,17,CG,500,9.28e-04,0,0.4787,22.5606
43,28707.667969,1.565431e+01,17,CG,500,8.89e-04,0,0.4998,23.0604
44,28504.726562,1.562093e+01,15,CG,500,8.49e-04,0,0.4698,23.5302
45,28304.607422,1.558232e+01,16,CG,500,8.09e-04,0,0.4471,23.9772
46,28107.263672,1.553882e+01,15,CG,500,7.69e-04,0,0.4398,24.4171
47,27912.638672,1.549077e+01,16,CG,500,7.29e-04,0,0.4841,24.9012
48,27720.683594,1.543830e+01,15,CG,500,6.89e-04,0,0.4950,25.3962
49,27531.343750,1.538158e+01,15,CG,500,6.50e-04,0,0.4468,25.8430
50,27344.583984,1.532104e+01,16,CG,500,6.12e-04,0,0.4408,26.2839
51,27160.357422,1.525671e+01,17,CG,500,5.75e-04,0,0.4416,26.7254
52,26978.628906,1.518897e+01,14,CG,500,5.39e-04,0,0.4386,27.1641
53,26799.359375,1.511788e+01,14,CG,500,5.04e-04,0,0.4409,27.6049
54,26622.511719,1.504380e+01,14,CG,500,4.70e-04,0,0.4367,28.0416
55,26448.058594,1.496691e+01,14,CG,500,4.37e-04,0,0.4555,28.4971
56,26275.960938,1.488752e+01,15,CG,500,4.06e-04,0,0.4979,28.9949
57,26106.195312,1.480584e+01,13,CG,500,3.77e-04,0,0.4863,29.4812
58,25938.726562,1.472205e+01,14,CG,500,3.49e-04,0,0.4767,29.9579
59,25773.527344,1.463654e+01,13,CG,500,3.22e-04,0,0.4412,30.3991
60,25610.570312,1.455008e+01,14,CG,500,2.97e-04,0,0.4373,30.8364
61,25449.830078,1.446427e+01,13,CG,500,2.74e-04,0,0.4332,31.2695
62,25291.277344,1.437712e+01,15,CG,500,2.53e-04,0,0.4378,31.7073
63,25134.890625,1.428840e+01,13,CG,500,2.32e-04,0,0.4381,32.1454
64,24980.640625,1.419848e+01,13,CG,500,2.13e-04,0,0.4401,32.5855
65,24828.503906,1.410743e+01,14,CG,500,1.96e-04,0,0.4331,33.0186
66,24678.457031,1.401547e+01,14,CG,500,1.79e-04,0,0.4524,33.4710
67,24530.478516,1.392262e+01,13,CG,500,1.64e-04,0,0.4503,33.9213
68,24384.539062,1.382908e+01,14,CG,500,1.49e-04,0,0.4863,34.4076
69,24240.615234,1.373490e+01,12,CG,500,1.36e-04,0,0.4976,34.9052
70,24098.691406,1.364033e+01,12,CG,500,1.24e-04,0,0.4883,35.3935
71,23958.742188,1.354527e+01,14,CG,500,1.12e-04,0,0.4958,35.8893
72,23820.744141,1.344998e+01,14,CG,500,1.02e-04,0,0.4849,36.3742
73,23684.673828,1.335446e+01,13,CG,500,9.21e-05,0,0.4952,36.8694
74,23550.509766,1.325886e+01,13,CG,500,8.34e-05,0,0.4799,37.3493
75,23418.230469,1.316311e+01,13,CG,500,7.55e-05,0,0.4406,37.7898
76,23287.812500,1.306729e+01,12,CG,500,6.83e-05,0,0.4379,38.2278
77,23159.238281,1.297151e+01,12,CG,500,6.18e-05,0,0.5093,38.7371
78,23032.480469,1.287576e+01,12,CG,500,5.58e-05,0,0.4904,39.2275
79,22907.519531,1.278014e+01,12,CG,500,5.03e-05,0,0.4957,39.7232
80,22784.335938,1.268461e+01,12,CG,500,4.53e-05,0,0.4929,40.2161
81,22662.906250,1.258923e+01,12,CG,500,4.07e-05,0,0.4935,40.7096
82,22543.207031,1.249401e+01,11,CG,500,3.65e-05,0,0.4931,41.2027
83,22425.222656,1.239902e+01,12,CG,500,3.27e-05,0,0.4333,41.6361
84,22308.929688,1.230431e+01,11,CG,500,2.93e-05,0,0.4277,42.0638
85,22194.306641,1.220987e+01,12,CG,500,2.63e-05,0,0.4306,42.4944
86,22081.332031,1.211582e+01,11,CG,500,2.35e-05,0,0.4321,42.9265
87,21969.984375,1.202203e+01,11,CG,500,2.11e-05,0,0.4310,43.3574
88,21860.248047,1.192872e+01,12,CG,500,1.89e-05,0,0.4323,43.7897
89,21752.097656,1.183590e+01,11,CG,500,1.69e-05,0,0.4315,44.2212
90,21645.507812,1.174343e+01,11,CG,500,1.51e-05,0,0.4316,44.6528
91,21540.468750,1.165152e+01,14,CG,500,1.35e-05,0,0.4913,45.1441
92,21436.953125,1.156189e+01,11,CG,500,1.20e-05,0,0.4938,45.6379
93,21334.945312,1.147661e+01,11,CG,500,1.07e-05,0,0.4470,46.0849
94,21234.417969,1.139175e+01,11,CG,500,9.52e-06,0,0.4374,46.5223
95,21135.355469,1.130723e+01,11,CG,500,8.46e-06,0,0.4338,46.9561
96,21037.738281,1.122319e+01,11,CG,500,7.53e-06,0,0.4333,47.3894
97,20941.546875,1.113943e+01,14,CG,500,6.70e-06,0,0.4954,47.8849
98,20846.761719,1.105625e+01,11,CG,500,5.96e-06,0,0.4313,48.3162
99,20753.359375,1.097351e+01,11,CG,500,5.31e-06,0,0.4325,48.7487
100,20661.322266,1.089119e+01,10,CG,500,4.72e-06,0,0.4256,49.1743
