step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854728e+01,9,CG,6,2.66e-09,0,0.5745,0.5745
2,14048.186523,1.309640e+01,4,CG,6,2.65e-09,0,0.1823,0.7568
3,14047.768555,6.635539e+00,5,CG,6,2.64e-09,0,0.1754,0.9322
4,14047.636719,1.803088e+00,5,CG,6,2.62e-09,0,0.1731,1.1053
5,14047.642578,1.925238e+00,6,CG,6,2.61e-09,0,0.1731,1.2784
6,14047.654297,2.766912e+00,5,CG,6,2.60e-09,0,0.1775,1.4559
7,14047.648438,2.333981e+00,4,CG,6,2.59e-09,0,0.1737,1.6296
8,14047.639648,1.573288e+00,5,CG,6,2.59e-09,0,0.1741,1.8037
9,14047.630859,7.733874e-01,4,CG,6,2.59e-09,0,0.1717,1.9754
10,14047.626953,1.704493e-01,4,CG,6,2.59e-09,0,0.1738,2.1492
11,14047.634766,3.762608e-01,5,CG,6,2.59e-09,0,0.1728,2.3220
12,14047.630859,3.973103e-01,4,CG,6,2.60e-09,0,0.1738,2.4958
13,14047.632812,2.857904e-01,5,CG,6,2.60e-09,0,0.1721,2.6679
14,14047.632812,1.860828e-01,5,CG,6,2.60e-09,0,0.1759,2.8438
15,14047.628906,8.594370e-02,4,CG,6,2.60e-09,0,0.1716,3.0154
16,14047.626953,3.977966e-02,3,CG,6,2.60e-09,0,0.1752,3.1906
17,14047.631836,6.101036e-02,4,CG,6,2.60e-09,0,0.1712,3.3618
18,14047.628906,5.298424e-02,4,CG,6,2.60e-09,0,0.1719,3.5336
19,14047.626953,3.450203e-02,4,CG,6,2.60e-09,0,0.1729,3.7066
20,14047.630859,2.124310e-02,4,CG,6,2.60e-09,0,0.1694,3.8760
21,14047.632812,8.999825e-03,3,CG,6,2.60e-09,0,0.1736,4.0496
22,14047.632812,7.745743e-03,3,CG,6,2.60e-09,0,0.1722,4.2218
23,14047.632812,9.007454e-03,4,CG,6,2.60e-09,0,0.1723,4.3941
24,14047.632812,6.488800e-03,3,CG,6,2.60e-09,0,0.1717,4.5659
25,14047.628906,4.175663e-03,3,CG,6,2.60e-09,0,0.1716,4.7374
26,14047.626953,2.764225e-03,3,CG,6,2.60e-09,0,0.1720,4.9094
27,14047.629883,9.660721e-04,3,CG,6,2.60e-09,0,0.1695,5.0789
28,14047.630859,1.422882e-03,1,CG,6,2.60e-09,0,0.1701,5.2491
29,14047.631836,1.173973e-03,3,CG,6,2.60e-09,0,0.1723,5.4213
30,14047.628906,1.027107e-03,3,CG,6,2.60e-09,0,0.1706,5.5919
31,14047.630859,7.133484e-04,3,CG,6,2.60e-09,0,0.1729,5.7648
32,14047.630859,4.901886e-04,3,CG,6,2.60e-09,0,0.1723,5.9371
