step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.744764,1.841921e+01,9,CG,6,2.66e-09,0,0.7371,0.7371
2,14047.982766,1.044325e+01,5,CG,6,2.65e-09,0,0.3072,1.0443
3,14047.697798,4.700365e+00,5,CG,6,2.63e-09,0,0.2851,1.3295
4,14047.635925,1.359420e+00,5,CG,6,2.62e-09,0,0.2831,1.6125
5,14047.632081,6.365885e-01,5,CG,6,2.61e-09,0,0.2829,1.8955
6,14047.633464,9.149909e-01,5,CG,6,2.60e-09,0,0.2832,2.1786
7,14047.632906,7.301235e-01,5,CG,6,2.60e-09,0,0.2845,2.4631
8,14047.631943,4.907883e-01,4,CG,6,2.59e-09,0,0.2817,2.7449
9,14047.631410,2.837398e-01,4,CG,6,2.59e-09,0,0.2814,3.0262
10,14047.631232,1.310569e-01,4,CG,6,2.60e-09,0,0.2821,3.3083
11,14047.631196,4.030429e-02,4,CG,6,2.60e-09,0,0.2828,3.5911
12,14047.631193,3.048296e-02,4,CG,6,2.60e-09,0,0.2825,3.8736
13,14047.631193,2.860008e-02,4,CG,6,2.60e-09,0,0.2816,4.1552
14,14047.631192,1.918746e-02,4,CG,6,2.60e-09,0,0.2811,4.4363
15,14047.631191,1.297907e-02,4,CG,6,2.60e-09,0,0.2820,4.7183
16,14047.631191,7.643895e-03,3,CG,6,2.60e-09,0,0.2814,4.9996
17,14047.631190,3.639508e-03,3,CG,6,2.60e-09,0,0.2828,5.2825
18,14047.631190,1.389359e-03,3,CG,6,2.60e-09,0,0.2814,5.5639
19,14047.631190,1.081711e-03,3,CG,6,2.60e-09,0,0.3211,5.8850
20,14047.631190,8.171653e-04,3,CG,6,2.60e-09,0,0.3186,6.2036
21,14047.631190,4.758339e-04,3,CG,6,2.60e-09,0,0.3182,6.5218
