step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.744764,1.841921e+01,9,CG,6,2.66e-09,0,0.6883,0.6883
2,14047.982766,1.044325e+01,5,CG,6,2.65e-09,0,0.2934,0.9817
3,14047.697798,4.700365e+00,5,CG,6,2.63e-09,0,0.2847,1.2663
4,14047.635925,1.359420e+00,5,CG,6,2.62e-09,0,0.2858,1.5522
5,14047.632081,6.365885e-01,5,CG,6,2.61e-09,0,0.2826,1.8348
6,14047.633464,9.149909e-01,5,CG,6,2.60e-09,0,0.2827,2.1175
7,14047.632906,7.301235e-01,5,CG,6,2.60e-09,0,0.2956,2.4131
8,14047.631943,4.907883e-01,4,CG,6,2.59e-09,0,0.2815,2.6946
9,14047.631410,2.837398e-01,4,CG,6,2.59e-09,0,0.2828,2.9774
10,14047.631232,1.310569e-01,4,CG,6,2.60e-09,0,0.2835,3.2608
11,14047.631196,4.030429e-02,4,CG,6,2.60e-09,0,0.2842,3.5451
12,14047.631193,3.048296e-02,4,CG,6,2.60e-09,0,0.2827,3.8278
13,14047.631193,2.860008e-02,4,CG,6,2.60e-09,0,0.2834,4.1112
14,14047.631192,1.918746e-02,4,CG,6,2.60e-09,0,0.2871,4.3982
15,14047.631191,1.297907e-02,4,CG,6,2.60e-09,0,0.2823,4.6806
16,14047.631191,7.643895e-03,3,CG,6,2.60e-09,0,0.2815,4.9621
17,14047.631190,3.639508e-03,3,CG,6,2.60e-09,0,0.2818,5.2439
18,14047.631190,1.389359e-03,3,CG,6,2.60e-09,0,0.2822,5.5261
19,14047.631190,1.081711e-03,3,CG,6,2.60e-09,0,0.2833,5.8094
20,14047.631190,8.171653e-04,3,CG,6,2.60e-09,0,0.2841,6.0934
21,14047.631190,4.758339e-04,3,CG,6,2.60e-09,0,0.2840,6.3775
