step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854697e+01,9,CG,6,2.66e-09,0,1.5285,1.5285
2,14068.083984,8.713413e+01,6,CG,6,2.51e-09,0,0.8793,2.4078
3,14339.775391,3.195557e+02,6,CG,6,2.20e-09,0,0.9956,3.4034
4,17880.500000,2.467331e+03,7,CG,6,3.71e-09,0,1.2765,4.6799
5,25434.783203,4.128095e+02,6,CG,5,9.16e-09,0,0.8815,5.5614
6,29018.287109,3.508233e+03,12,CG,500,8.57e-02,0,1.2460,6.8074
7,90816.906250,1.892307e+04,6,CG,1,2.02e-12,0,0.2545,7.0619
8,45380.515625,3.796191e+02,2,CG,1,6.79e-11,0,0.2157,7.2777
9,42532.828125,5.482289e+02,1,CG,1,6.51e-11,0,0.3154,7.5930
10,36054.375000,6.426837e+02,2,CG,1,6.96e-11,0,0.2674,7.8604
11,83102.703125,1.786919e+04,2,CG,1,0.00e+00,0,0.3185,8.1790
12,46869.726562,2.263887e+10,2,CG,1,8.77e-11,0,0.4540,8.6329
