step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,10009.401367,2.895022e+02,10,CG,7,3.06e-09,0,0.6602,0.6602
2,9823.199219,2.388430e+02,6,CG,6,8.46e-09,0,0.2783,0.9385
3,9633.382812,1.843613e+02,6,CG,6,1.97e-09,0,0.2670,1.2055
4,9503.287109,1.426220e+02,6,CG,5,8.45e-09,0,0.2586,1.4641
5,9422.623047,1.137693e+02,5,CG,5,2.83e-09,0,0.2588,1.7228
6,9367.724609,9.408710e+01,5,CG,5,1.13e-09,0,0.2524,1.9753
7,9326.760742,8.032771e+01,6,CG,5,5.25e-10,0,0.2514,2.2267
8,9296.206055,7.031852e+01,5,CG,5,2.76e-10,0,0.2634,2.4901
9,9273.550781,6.273395e+01,5,CG,4,7.18e-09,0,0.2514,2.7415
10,9256.150391,5.678165e+01,5,CG,4,4.34e-09,0,0.2528,2.9943
11,9242.126953,5.197225e+01,4,CG,4,2.73e-09,0,0.2497,3.2440
12,9230.458984,4.799514e+01,4,CG,4,1.78e-09,0,0.2489,3.4930
13,9220.599609,4.463667e+01,4,CG,4,1.19e-09,0,0.2493,3.7423
14,9212.162109,4.175769e+01,4,CG,4,8.19e-10,0,0.2499,3.9922
15,9204.833984,3.925752e+01,4,CG,4,5.79e-10,0,0.2487,4.2409
16,9198.398438,3.706217e+01,4,CG,4,4.18e-10,0,0.2518,4.4927
17,9192.687500,3.511295e+01,4,CG,4,3.08e-10,0,0.2492,4.7419
18,9187.575195,3.337101e+01,4,CG,4,2.31e-10,0,0.2462,4.9881
19,9182.974609,3.180187e+01,4,CG,4,1.76e-10,0,0.2468,5.2349
20,9178.806641,3.037950e+01,4,CG,4,1.35e-10,0,0.2463,5.4813
21,9175.009766,2.908439e+01,4,CG,4,1.05e-10,0,0.2473,5.7286
22,9171.536133,2.789848e+01,4,CG,4,8.25e-11,0,0.2446,5.9732
23,9168.344727,2.680816e+01,3,CG,4,6.54e-11,0,0.2471,6.2203
24,9165.402344,2.580336e+01,4,CG,3,8.46e-09,0,0.2457,6.4659
25,9162.679688,2.487321e+01,4,CG,3,7.09e-09,0,0.2450,6.7109
26,9160.155273,2.400942e+01,4,CG,3,5.97e-09,0,0.2423,6.9532
27,9157.800781,2.320470e+01,4,CG,3,5.06e-09,0,0.2432,7.1965
28,9155.606445,2.245390e+01,4,CG,3,4.32e-09,0,0.2433,7.4397
29,9153.552734,2.175126e+01,3,CG,3,3.70e-09,0,0.2447,7.6844
30,9151.625000,2.109226e+01,3,CG,3,3.18e-09,0,0.2449,7.9293
31,9149.813477,2.047263e+01,3,CG,3,2.75e-09,0,0.2433,8.1727
32,9148.111328,1.988929e+01,3,CG,3,2.39e-09,0,0.2433,8.4160
33,9146.504883,1.933878e+01,3,CG,3,2.08e-09,0,0.2453,8.6613
34,9144.987305,1.881878e+01,4,CG,3,1.82e-09,0,0.2431,8.9045
35,9143.546875,1.832603e+01,3,CG,3,1.60e-09,0,0.2429,9.1474
36,9142.185547,1.786022e+01,3,CG,3,1.41e-09,0,0.2441,9.3915
37,9140.890625,1.741687e+01,3,CG,3,1.24e-09,0,0.2433,9.6348
38,9139.663086,1.699521e+01,3,CG,3,1.10e-09,0,0.2444,9.8792
39,9138.489258,1.659385e+01,3,CG,3,9.80e-10,0,0.2438,10.1230
40,9137.377930,1.621140e+01,3,CG,3,8.73e-10,0,0.2438,10.3669
41,9136.311523,1.584638e+01,3,CG,3,7.80e-10,0,0.2437,10.6106
42,9135.291992,1.549745e+01,3,CG,3,6.99e-10,0,0.2431,10.8537
43,9134.326172,1.516390e+01,3,CG,3,6.27e-10,0,0.2434,11.0970
44,9133.390625,1.484478e+01,3,CG,3,5.65e-10,0,0.2430,11.3400
45,9132.501953,1.453877e+01,3,CG,3,5.09e-10,0,0.2434,11.5834
46,9131.648438,1.424530e+01,3,CG,3,4.60e-10,0,0.2424,11.8258
47,9130.826172,1.396356e+01,4,CG,3,4.17e-10,0,0.2425,12.0683
48,9130.038086,1.369324e+01,3,CG,3,3.78e-10,0,0.2427,12.3110
49,9129.283203,1.343300e+01,3,CG,3,3.44e-10,0,0.2422,12.5532
50,9128.551758,1.318244e+01,3,CG,3,3.13e-10,0,0.2425,12.7957
51,9127.850586,1.294132e+01,3,CG,3,2.86e-10,0,0.2416,13.0373
52,9127.175781,1.270881e+01,3,CG,3,2.61e-10,0,0.2396,13.2769
53,9126.521484,1.248475e+01,3,CG,3,2.39e-10,0,0.2421,13.5190
54,9125.891602,1.226867e+01,3,CG,3,2.19e-10,0,0.2386,13.7577
